family,n_trades_median,share_top5_median,seeds_positive_after_drop_top5,win_rate_median,max_consecutive_losses_worst_seed,obs_mdd_pct_in_permutations_median
pdl_reclaim_long,126.000000,0.311310,2,0.481228,10,0.384000
volatility_breakout,139.000000,0.512929,0,0.413188,11,0.266500
