family,symbol,engine,seed,fold_id,trade_id,entry_time,exit_time,side,holding_bars,net_return,funding,fees_plus_slippage,exit_reason
pdl_reclaim_long,BTCUSDT,random_search,278037,3,11,2023-03-24T22:00:00.000+0000,2023-03-25T09:00:00.000+0000,long,12,0.00519712,0.00000115,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,4,1,2023-03-31T08:00:00.000+0000,2023-03-31T13:00:00.000+0000,long,6,0.02188853,0.00006358,0.00050000,
pdl_reclaim_long,BTCUSDT,random_search,278037,4,2,2023-03-31T14:00:00.000+0000,2023-04-02T07:00:00.000+0000,long,42,0.00031113,0.00021683,0.00025000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,4,3,2023-04-02T14:00:00.000+0000,2023-04-02T15:00:00.000+0000,long,2,-0.00622555,0.00000000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,4,4,2023-04-06T11:00:00.000+0000,2023-04-08T10:00:00.000+0000,long,48,0.00549482,-0.00001655,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,4,5,2023-04-18T02:00:00.000+0000,2023-04-18T07:00:00.000+0000,long,6,0.01293079,0.00000000,0.00050000,
pdl_reclaim_long,BTCUSDT,random_search,278037,4,6,2023-04-18T08:00:00.000+0000,2023-04-18T11:00:00.000+0000,long,4,0.01002297,-0.00000255,0.00025000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,4,7,2023-04-19T09:00:00.000+0000,2023-04-19T23:00:00.000+0000,long,15,-0.01260351,-0.00000081,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,4,8,2023-04-24T10:00:00.000+0000,2023-04-24T11:00:00.000+0000,long,2,0.00826855,0.00000000,0.00050000,
pdl_reclaim_long,BTCUSDT,random_search,278037,4,9,2023-04-24T12:00:00.000+0000,2023-04-24T14:00:00.000+0000,long,3,-0.00246453,0.00000000,0.00025000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,4,10,2023-05-06T17:00:00.000+0000,2023-05-07T23:00:00.000+0000,long,31,-0.00980972,0.00014414,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,4,11,2023-05-18T19:00:00.000+0000,2023-05-18T21:00:00.000+0000,long,3,0.01079173,0.00000000,0.00050000,
pdl_reclaim_long,BTCUSDT,random_search,278037,4,12,2023-05-18T22:00:00.000+0000,2023-05-20T18:00:00.000+0000,long,45,0.00188188,0.00008962,0.00025000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,4,13,2023-05-21T12:00:00.000+0000,2023-05-21T21:00:00.000+0000,long,10,-0.00362566,0.00005071,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,4,14,2023-05-24T05:00:00.000+0000,2023-05-24T06:00:00.000+0000,long,2,-0.00391034,0.00000000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,4,15,2023-05-25T02:00:00.000+0000,2023-05-25T19:00:00.000+0000,long,18,0.01239383,0.00020000,0.00050000,
pdl_reclaim_long,BTCUSDT,random_search,278037,4,16,2023-05-25T20:00:00.000+0000,2023-05-27T01:00:00.000+0000,long,30,0.00428991,0.00015841,0.00025000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,5,1,2023-06-26T04:00:00.000+0000,2023-06-26T15:00:00.000+0000,long,12,0.00334911,0.00010000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,5,2,2023-06-28T09:00:00.000+0000,2023-06-28T12:00:00.000+0000,long,4,-0.00619541,0.00000000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,5,3,2023-06-30T14:00:00.000+0000,2023-06-30T17:00:00.000+0000,long,4,0.01018618,0.00010000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,5,4,2023-07-06T15:00:00.000+0000,2023-07-06T23:00:00.000+0000,long,9,-0.01116240,0.00001492,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,5,5,2023-07-07T01:00:00.000+0000,2023-07-07T12:00:00.000+0000,long,12,0.00449139,0.00004221,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,5,6,2023-07-18T17:00:00.000+0000,2023-07-19T00:00:00.000+0000,long,8,0.01134043,0.00010000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,6,1,2023-09-24T19:00:00.000+0000,2023-09-24T19:00:00.000+0000,long,1,-0.00607173,0.00000000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,6,2,2023-09-25T01:00:00.000+0000,2023-09-27T00:00:00.000+0000,long,48,-0.00040692,0.00023802,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,6,3,2023-10-06T14:00:00.000+0000,2023-10-06T21:00:00.000+0000,long,8,0.01820178,-0.00003149,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,6,4,2023-11-03T09:00:00.000+0000,2023-11-03T10:00:00.000+0000,long,2,-0.00448085,0.00000000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,6,5,2023-11-05T22:00:00.000+0000,2023-11-05T23:00:00.000+0000,long,2,0.01024407,0.00000000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,6,6,2023-11-21T15:00:00.000+0000,2023-11-21T15:00:00.000+0000,long,1,0.00848310,0.00000000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,6,7,2023-11-22T01:00:00.000+0000,2023-11-22T18:00:00.000+0000,long,18,0.02931560,0.00020000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,6,8,2023-11-26T13:00:00.000+0000,2023-11-26T16:00:00.000+0000,long,4,-0.01125879,0.00010000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,6,9,2023-11-27T08:00:00.000+0000,2023-11-27T10:00:00.000+0000,long,3,-0.00519973,0.00010000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,6,10,2023-11-30T15:00:00.000+0000,2023-12-01T04:00:00.000+0000,long,14,0.01316893,0.00020000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,6,11,2023-12-13T03:00:00.000+0000,2023-12-13T16:00:00.000+0000,long,14,0.02017285,0.00022763,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,7,1,2023-12-23T05:00:00.000+0000,2023-12-24T04:00:00.000+0000,long,24,0.00597594,0.00035066,0.00050000,
pdl_reclaim_long,BTCUSDT,random_search,278037,7,2,2023-12-24T05:00:00.000+0000,2023-12-24T05:00:00.000+0000,long,1,-0.00367587,0.00000000,0.00025000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,7,3,2023-12-26T06:00:00.000+0000,2023-12-26T06:00:00.000+0000,long,1,-0.00242321,0.00000000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,7,4,2023-12-29T02:00:00.000+0000,2023-12-29T14:00:00.000+0000,long,13,0.01527044,0.00049912,0.00050000,
pdl_reclaim_long,BTCUSDT,random_search,278037,7,5,2023-12-29T15:00:00.000+0000,2023-12-29T15:00:00.000+0000,long,1,-0.00912589,0.00000000,0.00025000,signal_close
