family,bar_index,p05,p25,p50,p75,p95,observed_median_seed
pdl_reclaim_long,5328,0.924806,0.979484,1.020362,1.066947,1.143187,1.017444
pdl_reclaim_long,5402,0.924781,0.979528,1.021026,1.067340,1.143834,1.017444
pdl_reclaim_long,5476,0.924731,0.979272,1.021128,1.068216,1.146343,1.009730
pdl_reclaim_long,5550,0.923993,0.979202,1.021473,1.068568,1.149026,1.009730
pdl_reclaim_long,5624,0.923689,0.979049,1.021687,1.069336,1.148775,1.009730
pdl_reclaim_long,5698,0.923467,0.979165,1.022027,1.070628,1.150679,0.996314
pdl_reclaim_long,5772,0.922942,0.978982,1.022596,1.071576,1.150760,0.996314
pdl_reclaim_long,5846,0.922866,0.979162,1.022386,1.072886,1.152105,0.996314
pdl_reclaim_long,5920,0.922828,0.979062,1.022305,1.073235,1.152347,0.998399
pdl_reclaim_long,5994,0.922063,0.978991,1.022476,1.074058,1.155950,1.003200
pdl_reclaim_long,6068,0.922540,0.978993,1.022748,1.075375,1.157550,1.003200
pdl_reclaim_long,6142,0.922626,0.978873,1.022748,1.075653,1.157640,1.003200
pdl_reclaim_long,6216,0.922029,0.979040,1.022622,1.076238,1.158440,1.003200
pdl_reclaim_long,6290,0.920647,0.978863,1.023482,1.077596,1.159736,0.991437
pdl_reclaim_long,6364,0.919620,0.978738,1.023396,1.077787,1.159814,0.985896
pdl_reclaim_long,6438,0.918977,0.978914,1.023609,1.078138,1.163147,0.985896
pdl_reclaim_long,6512,0.919097,0.978725,1.023533,1.078641,1.165307,0.985896
pdl_reclaim_long,6586,0.917701,0.977895,1.024111,1.079377,1.167595,0.985896
pdl_reclaim_long,6660,0.917504,0.977612,1.024885,1.080304,1.168668,0.985896
pdl_reclaim_long,6734,0.917002,0.977518,1.024740,1.080397,1.172186,0.985896
pdl_reclaim_long,6808,0.917887,0.977831,1.025202,1.081105,1.172629,0.985896
pdl_reclaim_long,6882,0.917065,0.977905,1.025507,1.082028,1.174917,0.985896
pdl_reclaim_long,6956,0.914697,0.977790,1.025726,1.082476,1.177689,0.985896
pdl_reclaim_long,7030,0.914728,0.977661,1.026121,1.082278,1.176160,0.985896
pdl_reclaim_long,7104,0.914728,0.978559,1.025610,1.082842,1.177014,0.985896
pdl_reclaim_long,7178,0.914269,0.978279,1.026321,1.083789,1.177766,0.995837
pdl_reclaim_long,7252,0.914804,0.978717,1.026621,1.084609,1.179845,0.995837
pdl_reclaim_long,7326,0.914654,0.978830,1.027005,1.085567,1.182255,0.995837
pdl_reclaim_long,7400,0.913837,0.978453,1.026851,1.086024,1.182547,0.995837
pdl_reclaim_long,7474,0.914664,0.979212,1.027737,1.085898,1.183499,0.995837
