round,family,symbol,n_seeds,sharpe_concat_ann_mean_across_seeds,sharpe_concat_ann_sd_across_seeds,sharpe_concat_ann_min,sharpe_concat_ann_max,mean_fold_test_sharpe_mean_across_seeds,total_return_net_mean_across_seeds,seeds_positive_return,bh_total_return_same_window,n_trades_mean_across_seeds
CRT_INTRADAY_V1,crt_htf_range_reversal,BTCUSDT,10,-0.28975500998141707,0.5332370509513329,-1.4655908281026742,0.23000542218777614,-0.329294174913211,-0.12813009632535052,3,0.522747844787544,603.0
CRT_INTRADAY_V1,crt_htf_range_reversal,ETHUSDT,10,-0.5697183472151889,0.5887791709508581,-1.3894592153965624,0.46655806705341957,-0.5675330711010405,-0.2797829276836417,1,-0.2190192992677874,760.9
CRT_INTRADAY_V1,crt_three_candle_model,BTCUSDT,10,-0.731889463171339,0.36538682643639636,-1.4675421931266528,-0.15430106960478016,-0.5430884930217372,-0.3395072671588706,0,0.522747844787544,490.6
CRT_INTRADAY_V1,crt_three_candle_model,ETHUSDT,10,-0.10447587098572331,0.24121387253227006,-0.410527147796171,0.2487978402885565,-0.1657020973484391,-0.11893893969526212,3,-0.2190192992677874,481.5
CRT_INTRADAY_V1,double_sweep_reversal,BTCUSDT,10,0.04267887943402583,0.28470899941897226,-0.39184658504959713,0.576417522169195,-0.1189041502850178,0.002245564445052217,5,0.522747844787544,150.1
CRT_INTRADAY_V1,double_sweep_reversal,ETHUSDT,10,0.03505071031487502,0.3381869518450216,-0.4632652153607362,0.47462968070097716,-0.1878270810624662,-0.0009989678995570238,6,-0.2190192992677874,167.1
CRT_INTRADAY_V1,failed_breakout_reversal,BTCUSDT,10,0.09137758029778478,0.21770961911374173,-0.21424903204853757,0.35086903055129426,-0.13895676278670827,0.016992421334700015,6,0.522747844787544,327.5
CRT_INTRADAY_V1,failed_breakout_reversal,ETHUSDT,10,-0.4782164574568866,0.28901264272013627,-0.8481164560601716,0.012515921285946856,-0.35705447095447174,-0.1821358485703589,0,-0.2190192992677874,308.2
CRT_INTRADAY_V1,opening_range_breakout_retest,BTCUSDT,10,-0.4686892001355938,0.2366748907937903,-0.7977312526214939,-0.07912530134188021,-0.7228377928588985,-0.07003128330562622,0,0.522747844787544,127.0
CRT_INTRADAY_V1,opening_range_breakout_retest,ETHUSDT,10,-0.5563533311315887,0.3758726997933952,-1.1756238500433136,0.07415087330668549,-0.4825749212374683,-0.09793935334634146,1,-0.2190192992677874,113.6
CRT_INTRADAY_V1,pdh_reclaim_short,BTCUSDT,10,0.01579074069007248,0.41228998526932104,-0.5465282405841926,0.5043397838040492,0.15348692760524513,-0.005665079593590028,5,0.522747844787544,231.4
CRT_INTRADAY_V1,pdh_reclaim_short,ETHUSDT,10,-0.4998583917825258,0.06756385145689893,-0.6069306862209719,-0.3826497770363616,-0.20666441263098942,-0.2360931051493544,0,-0.2190192992677874,371.4
CRT_INTRADAY_V1,pdl_reclaim_long,BTCUSDT,10,0.47141217830456156,0.13471310623326618,0.30005359139664267,0.6217288587976498,0.16340271469121745,0.1425999065839838,10,0.522747844787544,248.7
