round,family,symbol,scenario,n_seeds,mean_total_return,mean_sharpe,median_sharpe,n_seeds_positive,n_seeds_ci_excludes_zero,n_seeds_beat_bh,majority_required,majority_positive,majority_beats_bh,bh_total_return
S2,illiquidity_reversion,ETHUSDT,taker_4_1,3,-0.5649536424992333,-1.1818262129820158,-1.1529346500362272,0,0,0,2,False,False,-0.2190192992677874
S2,illiquidity_reversion,ETHUSDT,maker_2_1,3,-0.5229768445067476,-1.0415925044678642,-0.9972650055619101,0,0,0,2,False,False,-0.21886363421170063
S2,illiquidity_reversion,ETHUSDT,no_fees,3,-0.45224433416977927,-0.8306908521966089,-0.7631719651995149,0,0,0,2,False,False,-0.21863013662755293
S2,illiquidity_reversion,ETHUSDT,gross,3,-0.4559897203656897,-0.8417442577646076,-0.7742375388835784,0,0,0,2,False,False,0.009306446361522447
S1,intraday_seasonality,BTCUSDT,taker_4_1,1,-0.42017488150678006,-0.7451309101821212,-0.7451309101821212,0,0,0,1,False,False,0.522747844787544
S1,intraday_seasonality,BTCUSDT,maker_2_1,1,-0.23472164191571265,-0.32117810772728167,-0.32117810772728167,0,0,0,1,False,False,0.5230520209126748
S1,intraday_seasonality,BTCUSDT,no_fees,1,0.1602667272259688,0.31593340996537544,0.31593340996537544,1,0,0,1,True,False,0.5235082851004165
S1,intraday_seasonality,BTCUSDT,gross,1,0.17505678818120574,0.33533781695092474,0.33533781695092474,1,0,0,1,True,False,1.0065896149726061
R3,mean_reversion,BTCUSDT,taker_4_1,10,-0.608941659086004,-0.5823541371897438,-0.5005010494241832,0,0,0,6,False,False,0.522747844787544
R3,mean_reversion,BTCUSDT,maker_2_1,10,-0.5656837807124904,-0.5052964491401306,-0.43506422793973454,0,0,0,6,False,False,0.5230520209126748
R3,mean_reversion,BTCUSDT,no_fees,10,-0.49120620114705565,-0.38964084571318147,-0.3368566509821266,0,0,0,6,False,False,0.5235082851004165
R3,mean_reversion,BTCUSDT,gross,10,-0.49228381366494584,-0.3936333960149864,-0.35407943183886603,0,0,0,6,False,False,1.0065896149726061
R3,mean_reversion,ETHUSDT,taker_4_1,10,-0.7987229889360047,-0.8631767655061839,-0.8932117142699131,0,0,0,6,False,False,-0.2190192992677874
R3,mean_reversion,ETHUSDT,maker_2_1,10,-0.7766418899360554,-0.7960186398345561,-0.830280913634375,0,0,0,6,False,False,-0.21886363421170063
R3,mean_reversion,ETHUSDT,no_fees,10,-0.7387320548729409,-0.695220200838081,-0.7309983657568178,0,0,0,6,False,False,-0.21863013662755293
R3,mean_reversion,ETHUSDT,gross,10,-0.7367180159825784,-0.692295120122816,-0.7212502462909078,0,0,0,6,False,False,0.009306446361522447
R2,momentum,BTCUSDT,taker_4_1,10,-0.3224591142946583,-0.2214052172633028,-0.23661976702547954,0,0,0,6,False,False,0.522747844787544
R2,momentum,BTCUSDT,maker_2_1,10,-0.23489094794227466,-0.1135689650021621,-0.13110132228334812,0,0,0,6,False,False,0.5230520209126748
R2,momentum,BTCUSDT,no_fees,10,-0.08181286083760794,0.04826689358010274,0.02726304920098639,4,0,0,6,False,False,0.5235082851004165
R2,momentum,BTCUSDT,gross,10,-0.022709711228654117,0.10279122171170163,0.08295323214312958,4,0,0,6,False,False,1.0065896149726061
R2,momentum,ETHUSDT,taker_4_1,10,-0.47446151930894465,-0.32720957621327085,-0.3208335697249147,0,0,0,6,False,False,-0.2190192992677874
R2,momentum,ETHUSDT,maker_2_1,10,-0.4242066635814206,-0.2576579656793349,-0.25198204242223354,0,0,0,6,False,False,-0.21886363421170063
R2,momentum,ETHUSDT,no_fees,10,-0.339643899169809,-0.15330272928459454,-0.14868487801607455,0,0,2,6,False,False,-0.21863013662755293
R2,momentum,ETHUSDT,gross,10,-0.2863776369670694,-0.09427129855229248,-0.09071315866288843,0,0,0,6,False,False,0.009306446361522447
S1,mtf_trend_consensus,BTCUSDT,taker_4_1,1,-0.678255543402934,-0.513869707366042,-0.513869707366042,0,0,0,1,False,False,0.522747844787544
S1,mtf_trend_consensus,BTCUSDT,maker_2_1,1,-0.48840168414544927,-0.21756414710930688,-0.21756414710930688,0,0,0,1,False,False,0.5230520209126748
S1,mtf_trend_consensus,BTCUSDT,no_fees,1,0.025454708881457844,0.22740513528703699,0.22740513528703699,1,0,0,1,True,False,0.5235082851004165
S1,mtf_trend_consensus,BTCUSDT,gross,1,0.1012550039462965,0.27305252494467214,0.27305252494467214,1,0,0,1,True,False,1.0065896149726061
S2,taker_flow_extreme,BTCUSDT,taker_4_1,3,0.016122165752564383,0.01980223600159055,-0.14736281942307541,1,0,0,2,False,False,0.522747844787544
S2,taker_flow_extreme,BTCUSDT,maker_2_1,3,0.11518794463291342,0.21893641198759997,0.0632804896111421,2,0,0,2,True,False,0.5230520209126748
S2,taker_flow_extreme,BTCUSDT,no_fees,3,0.2824381745911186,0.5177607412724002,0.3795922098990734,3,1,1,2,True,False,0.5235082851004165
S2,taker_flow_extreme,BTCUSDT,gross,3,0.2944625270400109,0.536383812454643,0.3949869871582065,3,1,0,2,True,False,1.0065896149726061
S2,taker_flow_extreme,ETHUSDT,taker_4_1,3,0.015145304396752324,0.07572389655257988,-0.1451564251200661,1,0,3,2,False,True,-0.2190192992677874
S2,taker_flow_extreme,ETHUSDT,maker_2_1,3,0.09606346849872682,0.20451748970308062,-0.0022741976270813946,1,0,3,2,False,True,-0.21886363421170063
S2,taker_flow_extreme,ETHUSDT,no_fees,3,0.2310963129946438,0.39772908694294534,0.21204423189262472,3,0,3,2,True,True,-0.21863013662755293
S2,taker_flow_extreme,ETHUSDT,gross,3,0.2248710696090288,0.3896325295071745,0.20547014132434738,3,0,2,2,True,True,0.009306446361522447
R3,volatility_breakout,BTCUSDT,taker_4_1,10,0.10936092935311645,0.11623004565835357,0.21537605004200377,6,0,2,6,True,False,0.522747844787544
R3,volatility_breakout,BTCUSDT,maker_2_1,10,0.17475314653577148,0.16361401814707033,0.2624298592018458,6,0,2,6,True,False,0.5230520209126748
