round,family,symbol,engine,seed,oos_start,oos_end,n_oos_bars,n_folds,budget_per_fold_per_engine,unique_evals_this_unit_engine,total_return_net,max_drawdown,n_trades,sharpe_concat_ann,mean_fold_test_sharpe,n_folds_with_winner,bh_total_return,bh_sharpe_ann,bh_max_drawdown,pass_positive_return,pass_beats_bh,pass_double_costs,pass_bootstrap_ci,run_dir
CRT_INTRADAY_V1,crt_htf_range_reversal,BTCUSDT,random_search,605142,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.04271215093309988,-0.2107148210586508,399,-0.08684666902020394,-0.15253746180379946,15,0.522747844787544,0.4778480838265403,-0.6788115023551706,false,false,false,false,artifacts\runs\search_crt_htf_range_reversal_20260817T184603Z_57ea45
CRT_INTRADAY_V1,crt_htf_range_reversal,BTCUSDT,random_search,671194,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,0.013118968101463846,-0.2218344757403352,734,0.10094422325431676,0.05321295116813068,15,0.522747844787544,0.4778480838265403,-0.6788115023551706,true,false,false,false,artifacts\runs\search_crt_htf_range_reversal_20260817T191005Z_08681f
CRT_INTRADAY_V1,crt_htf_range_reversal,BTCUSDT,random_search,683778,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,0.00860237351794746,-0.2283676711354099,668,0.08670670876041012,-0.1798942334484843,15,0.522747844787544,0.4778480838265403,-0.6788115023551706,true,false,false,false,artifacts\runs\search_crt_htf_range_reversal_20260817T173511Z_9b83a9
CRT_INTRADAY_V1,crt_htf_range_reversal,BTCUSDT,random_search,692467,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.060380013964543844,-0.21931415647647268,561,-0.08302446120383847,0.034951807206484414,15,0.522747844787544,0.4778480838265403,-0.6788115023551706,false,false,false,false,artifacts\runs\search_crt_htf_range_reversal_20260817T182441Z_5b216b
CRT_INTRADAY_V1,crt_htf_range_reversal,BTCUSDT,random_search,693857,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.23954023310133077,-0.32677659158580974,542,-0.5048771915388701,-0.3718799513739766,15,0.522747844787544,0.4778480838265403,-0.6788115023551706,false,false,false,false,artifacts\runs\search_crt_htf_range_reversal_20260817T172356Z_db078f
CRT_INTRADAY_V1,crt_htf_range_reversal,BTCUSDT,random_search,707014,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.1602889132030163,-0.37597662973307167,719,-0.24365305731714093,-0.20797372274578865,15,0.522747844787544,0.4778480838265403,-0.6788115023551706,false,false,false,false,artifacts\runs\search_crt_htf_range_reversal_20260817T195656Z_0c5199
CRT_INTRADAY_V1,crt_htf_range_reversal,BTCUSDT,random_search,765570,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.3557955143463827,-0.4288151906949502,580,-0.9226659209169915,-0.6127025303219538,15,0.522747844787544,0.4778480838265403,-0.6788115023551706,false,false,false,false,artifacts\runs\search_crt_htf_range_reversal_20260817T174451Z_cce8e7
CRT_INTRADAY_V1,crt_htf_range_reversal,BTCUSDT,random_search,891022,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.47128225627872933,-0.5014687738265735,617,-1.4655908281026742,-1.3962917287742946,15,0.522747844787544,0.4778480838265403,-0.6788115023551706,false,false,false,false,artifacts\runs\search_crt_htf_range_reversal_20260817T170403Z_0c7eef
CRT_INTRADAY_V1,crt_htf_range_reversal,ETHUSDT,genetic_algorithm,278037,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.5099816282377074,-0.5581120798959114,761,-1.1065669262561741,-0.9690342183822584,15,-0.2190192992677874,0.24043085765021407,-0.74563556228467,false,false,false,false,artifacts\runs\search_crt_htf_range_reversal_20260817T234419Z_44b06a
CRT_INTRADAY_V1,crt_htf_range_reversal,ETHUSDT,genetic_algorithm,341110,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.32249752938981213,-0.4033612041421485,552,-0.7577206699047083,-0.665209572442223,15,-0.2190192992677874,0.24043085765021407,-0.74563556228467,false,false,false,false,artifacts\runs\search_crt_htf_range_reversal_20260817T211458Z_d80d43
CRT_INTRADAY_V1,crt_htf_range_reversal,ETHUSDT,genetic_algorithm,605142,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.47996212340313027,-0.5347746665294288,1082,-0.9209606389570401,-0.6407117402685356,15,-0.2190192992677874,0.24043085765021407,-0.74563556228467,false,false,false,false,artifacts\runs\search_crt_htf_range_reversal_20260817T230003Z_9e4bce
CRT_INTRADAY_V1,crt_htf_range_reversal,ETHUSDT,genetic_algorithm,671194,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.12472497107910618,-0.24669085059032458,552,-0.1897169115794778,-0.5320392140867808,15,-0.2190192992677874,0.24043085765021407,-0.74563556228467,false,true,false,false,artifacts\runs\search_crt_htf_range_reversal_20260817T231557Z_d96dc7
CRT_INTRADAY_V1,crt_htf_range_reversal,ETHUSDT,genetic_algorithm,683778,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.31662052077362435,-0.31934699928351573,475,-0.6358072894614374,-0.6824129406756293,15,-0.2190192992677874,0.24043085765021407,-0.74563556228467,false,false,false,false,artifacts\runs\search_crt_htf_range_reversal_20260817T220320Z_52172a
