round,family,symbol,criterion,n_pass,required,of_seeds,met,verdict
CRT_INTRADAY_V1,opening_range_breakout_retest,ETHUSDT,beats_buy_and_hold,10,6,10,true,REJECTED
CRT_INTRADAY_V1,opening_range_breakout_retest,ETHUSDT,bootstrap_sharpe_ci_excludes_zero,0,6,10,false,REJECTED
CRT_INTRADAY_V1,opening_range_breakout_retest,ETHUSDT,not_confined_to_one_fold,9,6,10,true,REJECTED
CRT_INTRADAY_V1,opening_range_breakout_retest,ETHUSDT,positive_total_return,1,6,10,false,REJECTED
CRT_INTRADAY_V1,opening_range_breakout_retest,ETHUSDT,survives_double_costs,0,6,10,false,REJECTED
CRT_INTRADAY_V1,opening_range_breakout_retest,ETHUSDT,survives_drop_top_trades,0,6,10,false,REJECTED
CRT_INTRADAY_V1,pdh_reclaim_short,BTCUSDT,beats_buy_and_hold,0,6,10,false,REJECTED
CRT_INTRADAY_V1,pdh_reclaim_short,BTCUSDT,bootstrap_sharpe_ci_excludes_zero,0,6,10,false,REJECTED
CRT_INTRADAY_V1,pdh_reclaim_short,BTCUSDT,not_confined_to_one_fold,9,6,10,true,REJECTED
CRT_INTRADAY_V1,pdh_reclaim_short,BTCUSDT,positive_total_return,5,6,10,false,REJECTED
CRT_INTRADAY_V1,pdh_reclaim_short,BTCUSDT,survives_double_costs,2,6,10,false,REJECTED
CRT_INTRADAY_V1,pdh_reclaim_short,BTCUSDT,survives_drop_top_trades,3,6,10,false,REJECTED
CRT_INTRADAY_V1,pdh_reclaim_short,ETHUSDT,beats_buy_and_hold,3,6,10,false,REJECTED
CRT_INTRADAY_V1,pdh_reclaim_short,ETHUSDT,bootstrap_sharpe_ci_excludes_zero,0,6,10,false,REJECTED
CRT_INTRADAY_V1,pdh_reclaim_short,ETHUSDT,not_confined_to_one_fold,10,6,10,true,REJECTED
CRT_INTRADAY_V1,pdh_reclaim_short,ETHUSDT,positive_total_return,0,6,10,false,REJECTED
CRT_INTRADAY_V1,pdh_reclaim_short,ETHUSDT,survives_double_costs,0,6,10,false,REJECTED
CRT_INTRADAY_V1,pdh_reclaim_short,ETHUSDT,survives_drop_top_trades,0,6,10,false,REJECTED
CRT_INTRADAY_V1,pdl_reclaim_long,BTCUSDT,beats_buy_and_hold,0,6,10,false,REJECTED
CRT_INTRADAY_V1,pdl_reclaim_long,BTCUSDT,bootstrap_sharpe_ci_excludes_zero,0,6,10,false,REJECTED
CRT_INTRADAY_V1,pdl_reclaim_long,BTCUSDT,not_confined_to_one_fold,9,6,10,true,REJECTED
CRT_INTRADAY_V1,pdl_reclaim_long,BTCUSDT,positive_total_return,10,6,10,true,REJECTED
CRT_INTRADAY_V1,pdl_reclaim_long,BTCUSDT,survives_double_costs,6,6,10,true,REJECTED
CRT_INTRADAY_V1,pdl_reclaim_long,BTCUSDT,survives_drop_top_trades,2,6,10,false,REJECTED
CRT_INTRADAY_V1,pdl_reclaim_long,ETHUSDT,beats_buy_and_hold,4,6,10,false,REJECTED
CRT_INTRADAY_V1,pdl_reclaim_long,ETHUSDT,bootstrap_sharpe_ci_excludes_zero,0,6,10,false,REJECTED
CRT_INTRADAY_V1,pdl_reclaim_long,ETHUSDT,not_confined_to_one_fold,10,6,10,true,REJECTED
CRT_INTRADAY_V1,pdl_reclaim_long,ETHUSDT,positive_total_return,0,6,10,false,REJECTED
CRT_INTRADAY_V1,pdl_reclaim_long,ETHUSDT,survives_double_costs,0,6,10,false,REJECTED
CRT_INTRADAY_V1,pdl_reclaim_long,ETHUSDT,survives_drop_top_trades,0,6,10,false,REJECTED
CRT_INTRADAY_V1,session_liquidity_sweep,BTCUSDT,beats_buy_and_hold,0,6,10,false,REJECTED
CRT_INTRADAY_V1,session_liquidity_sweep,BTCUSDT,bootstrap_sharpe_ci_excludes_zero,0,6,10,false,REJECTED
CRT_INTRADAY_V1,session_liquidity_sweep,BTCUSDT,not_confined_to_one_fold,7,6,10,true,REJECTED
CRT_INTRADAY_V1,session_liquidity_sweep,BTCUSDT,positive_total_return,3,6,10,false,REJECTED
CRT_INTRADAY_V1,session_liquidity_sweep,BTCUSDT,survives_double_costs,0,6,10,false,REJECTED
CRT_INTRADAY_V1,session_liquidity_sweep,BTCUSDT,survives_drop_top_trades,0,6,10,false,REJECTED
CRT_INTRADAY_V1,session_liquidity_sweep,ETHUSDT,beats_buy_and_hold,9,6,10,true,REJECTED
CRT_INTRADAY_V1,session_liquidity_sweep,ETHUSDT,bootstrap_sharpe_ci_excludes_zero,0,6,10,false,REJECTED
CRT_INTRADAY_V1,session_liquidity_sweep,ETHUSDT,not_confined_to_one_fold,10,6,10,true,REJECTED
CRT_INTRADAY_V1,session_liquidity_sweep,ETHUSDT,positive_total_return,0,6,10,false,REJECTED
CRT_INTRADAY_V1,session_liquidity_sweep,ETHUSDT,survives_double_costs,0,6,10,false,REJECTED
CRT_INTRADAY_V1,session_liquidity_sweep,ETHUSDT,survives_drop_top_trades,0,6,10,false,REJECTED
CRT_INTRADAY_V1,session_range_rotation,BTCUSDT,beats_buy_and_hold,0,6,10,false,REJECTED
CRT_INTRADAY_V1,session_range_rotation,BTCUSDT,bootstrap_sharpe_ci_excludes_zero,0,6,10,false,REJECTED
CRT_INTRADAY_V1,session_range_rotation,BTCUSDT,not_confined_to_one_fold,9,6,10,true,REJECTED
CRT_INTRADAY_V1,session_range_rotation,BTCUSDT,positive_total_return,1,6,10,false,REJECTED
CRT_INTRADAY_V1,session_range_rotation,BTCUSDT,survives_double_costs,1,6,10,false,REJECTED
CRT_INTRADAY_V1,session_range_rotation,BTCUSDT,survives_drop_top_trades,0,6,10,false,REJECTED
CRT_INTRADAY_V1,session_range_rotation,ETHUSDT,beats_buy_and_hold,10,6,10,true,REJECTED
CRT_INTRADAY_V1,session_range_rotation,ETHUSDT,bootstrap_sharpe_ci_excludes_zero,0,6,10,false,REJECTED
CRT_INTRADAY_V1,session_range_rotation,ETHUSDT,not_confined_to_one_fold,10,6,10,true,REJECTED
CRT_INTRADAY_V1,session_range_rotation,ETHUSDT,positive_total_return,0,6,10,false,REJECTED
CRT_INTRADAY_V1,session_range_rotation,ETHUSDT,survives_double_costs,0,6,10,false,REJECTED
CRT_INTRADAY_V1,session_range_rotation,ETHUSDT,survives_drop_top_trades,0,6,10,false,REJECTED
R2,momentum,BTCUSDT,beats_buy_and_hold,0,6,10,false,REJECTED
R2,momentum,BTCUSDT,bootstrap_sharpe_ci_excludes_zero,0,6,10,false,REJECTED
R2,momentum,BTCUSDT,positive_total_return,0,6,10,false,REJECTED
R2,momentum,BTCUSDT,survives_double_costs,0,6,10,false,REJECTED
R2,momentum,ETHUSDT,beats_buy_and_hold,0,6,10,false,REJECTED
R2,momentum,ETHUSDT,bootstrap_sharpe_ci_excludes_zero,0,6,10,false,REJECTED
R2,momentum,ETHUSDT,positive_total_return,0,6,10,false,REJECTED
R2,momentum,ETHUSDT,survives_double_costs,0,6,10,false,REJECTED
R3,BTC_ETH_confirmation,BTCUSDT,beats_buy_and_hold,0,6,10,false,REJECTED
R3,BTC_ETH_confirmation,BTCUSDT,bootstrap_sharpe_ci_excludes_zero,0,6,10,false,REJECTED
R3,BTC_ETH_confirmation,BTCUSDT,not_confined_to_one_fold,9,6,10,true,REJECTED
R3,BTC_ETH_confirmation,BTCUSDT,positive_total_return,1,6,10,false,REJECTED
R3,BTC_ETH_confirmation,BTCUSDT,survives_double_costs,0,6,10,false,REJECTED
R3,BTC_ETH_confirmation,BTCUSDT,survives_drop_top_trades,0,6,10,false,REJECTED
R3,BTC_ETH_confirmation,ETHUSDT,beats_buy_and_hold,0,6,10,false,REJECTED
R3,BTC_ETH_confirmation,ETHUSDT,bootstrap_sharpe_ci_excludes_zero,0,6,10,false,REJECTED
R3,BTC_ETH_confirmation,ETHUSDT,not_confined_to_one_fold,10,6,10,true,REJECTED
R3,BTC_ETH_confirmation,ETHUSDT,positive_total_return,0,6,10,false,REJECTED
R3,BTC_ETH_confirmation,ETHUSDT,survives_double_costs,0,6,10,false,REJECTED
R3,BTC_ETH_confirmation,ETHUSDT,survives_drop_top_trades,0,6,10,false,REJECTED
R3,breakout,BTCUSDT,beats_buy_and_hold,0,6,10,false,REJECTED
R3,breakout,BTCUSDT,bootstrap_sharpe_ci_excludes_zero,0,6,10,false,REJECTED
R3,breakout,BTCUSDT,not_confined_to_one_fold,10,6,10,true,REJECTED
R3,breakout,BTCUSDT,positive_total_return,0,6,10,false,REJECTED
R3,breakout,BTCUSDT,survives_double_costs,0,6,10,false,REJECTED
R3,breakout,BTCUSDT,survives_drop_top_trades,0,6,10,false,REJECTED
R3,breakout,ETHUSDT,beats_buy_and_hold,0,6,10,false,REJECTED
R3,breakout,ETHUSDT,bootstrap_sharpe_ci_excludes_zero,0,6,10,false,REJECTED
R3,breakout,ETHUSDT,not_confined_to_one_fold,10,6,10,true,REJECTED
R3,breakout,ETHUSDT,positive_total_return,0,6,10,false,REJECTED
R3,breakout,ETHUSDT,survives_double_costs,0,6,10,false,REJECTED
R3,breakout,ETHUSDT,survives_drop_top_trades,0,6,10,false,REJECTED
R3,funding,BTCUSDT,beats_buy_and_hold,0,6,10,false,REJECTED
R3,funding,BTCUSDT,bootstrap_sharpe_ci_excludes_zero,0,6,10,false,REJECTED
R3,funding,BTCUSDT,not_confined_to_one_fold,10,6,10,true,REJECTED
R3,funding,BTCUSDT,positive_total_return,0,6,10,false,REJECTED
R3,funding,BTCUSDT,survives_double_costs,0,6,10,false,REJECTED
R3,funding,BTCUSDT,survives_drop_top_trades,0,6,10,false,REJECTED
R3,funding,ETHUSDT,beats_buy_and_hold,1,6,10,false,REJECTED
R3,funding,ETHUSDT,bootstrap_sharpe_ci_excludes_zero,0,6,10,false,REJECTED
R3,funding,ETHUSDT,not_confined_to_one_fold,10,6,10,true,REJECTED
R3,funding,ETHUSDT,positive_total_return,1,6,10,false,REJECTED
R3,funding,ETHUSDT,survives_double_costs,1,6,10,false,REJECTED
R3,funding,ETHUSDT,survives_drop_top_trades,0,6,10,false,REJECTED
R3,mean_reversion,BTCUSDT,beats_buy_and_hold,0,6,10,false,REJECTED
R3,mean_reversion,BTCUSDT,bootstrap_sharpe_ci_excludes_zero,0,6,10,false,REJECTED
R3,mean_reversion,BTCUSDT,not_confined_to_one_fold,10,6,10,true,REJECTED
R3,mean_reversion,BTCUSDT,positive_total_return,0,6,10,false,REJECTED
R3,mean_reversion,BTCUSDT,survives_double_costs,0,6,10,false,REJECTED
R3,mean_reversion,BTCUSDT,survives_drop_top_trades,0,6,10,false,REJECTED
R3,mean_reversion,ETHUSDT,beats_buy_and_hold,0,6,10,false,REJECTED
R3,mean_reversion,ETHUSDT,bootstrap_sharpe_ci_excludes_zero,0,6,10,false,REJECTED
R3,mean_reversion,ETHUSDT,not_confined_to_one_fold,10,6,10,true,REJECTED
R3,mean_reversion,ETHUSDT,positive_total_return,0,6,10,false,REJECTED
R3,mean_reversion,ETHUSDT,survives_double_costs,0,6,10,false,REJECTED
R3,mean_reversion,ETHUSDT,survives_drop_top_trades,0,6,10,false,REJECTED
R3,volatility_breakout,BTCUSDT,beats_buy_and_hold,2,6,10,false,REJECTED
R3,volatility_breakout,BTCUSDT,bootstrap_sharpe_ci_excludes_zero,0,6,10,false,REJECTED
R3,volatility_breakout,BTCUSDT,not_confined_to_one_fold,6,6,10,true,REJECTED
R3,volatility_breakout,BTCUSDT,positive_total_return,6,6,10,true,REJECTED
R3,volatility_breakout,BTCUSDT,survives_double_costs,3,6,10,false,REJECTED
R3,volatility_breakout,BTCUSDT,survives_drop_top_trades,0,6,10,false,REJECTED
R3,volatility_breakout,ETHUSDT,beats_buy_and_hold,1,6,10,false,REJECTED
R3,volatility_breakout,ETHUSDT,bootstrap_sharpe_ci_excludes_zero,0,6,10,false,REJECTED
R3,volatility_breakout,ETHUSDT,not_confined_to_one_fold,9,6,10,true,REJECTED
R3,volatility_breakout,ETHUSDT,positive_total_return,1,6,10,false,REJECTED
R3,volatility_breakout,ETHUSDT,survives_double_costs,1,6,10,false,REJECTED
R3,volatility_breakout,ETHUSDT,survives_drop_top_trades,0,6,10,false,REJECTED
S3,macro_event_brake,BTCUSDT,beats_buy_and_hold,0,6,10,false,REJECTED
S3,macro_event_brake,BTCUSDT,bootstrap_sharpe_ci_excludes_zero,0,6,10,false,REJECTED
S3,macro_event_brake,BTCUSDT,not_confined_to_one_fold,10,6,10,true,REJECTED
S3,macro_event_brake,BTCUSDT,positive_total_return,0,6,10,false,REJECTED
S3,macro_event_brake,BTCUSDT,survives_double_costs,0,6,10,false,REJECTED
S3,macro_event_brake,BTCUSDT,survives_drop_top_trades,0,6,10,false,REJECTED
S3,macro_event_brake,ETHUSDT,beats_buy_and_hold,0,6,10,false,REJECTED
S3,macro_event_brake,ETHUSDT,bootstrap_sharpe_ci_excludes_zero,0,6,10,false,REJECTED
S3,macro_event_brake,ETHUSDT,not_confined_to_one_fold,10,6,10,true,REJECTED
S3,macro_event_brake,ETHUSDT,positive_total_return,0,6,10,false,REJECTED
S3,macro_event_brake,ETHUSDT,survives_double_costs,0,6,10,false,REJECTED
S3,macro_event_brake,ETHUSDT,survives_drop_top_trades,0,6,10,false,REJECTED
