round,family,symbol,seed,engine,budget_per_fold,n_folds,unique_evaluations,oos_bars,compounded_oos_return,median_fold_test_sharpe,folds_positive_return,folds_with_trades,total_test_trades,oos_bootstrap_p_value,mechanically_viable,run_dir
S2-B (pilot),taker_flow_extreme,BTCUSDT,42,genetic_algorithm,25,15,375,32385,-0.018692045579541405,-0.6531701683553595,7,15,440.0,0.4935,true,artifacts/runs/search_taker_flow_extreme_20260811T160957Z_a327dc
S2-B (pilot),taker_flow_extreme,BTCUSDT,42,random_search,25,15,375,32385,-0.0739886347700065,-0.11975654874305953,6,14,406.0,0.5995,true,artifacts/runs/search_taker_flow_extreme_20260811T160957Z_a327dc
S2-B (pilot),taker_flow_extreme,BTCUSDT,43,genetic_algorithm,25,15,375,32385,-0.12766734887512377,-0.6457641915949192,6,15,410.0,0.683,true,artifacts/runs/search_taker_flow_extreme_20260811T161006Z_a7ec6b
S2-B (pilot),taker_flow_extreme,BTCUSDT,43,random_search,25,15,375,32385,0.27510032562820474,0.35083241477369653,10,15,524.0,0.1845,true,artifacts/runs/search_taker_flow_extreme_20260811T161006Z_a7ec6b
S2-B (pilot),taker_flow_extreme,BTCUSDT,44,genetic_algorithm,25,15,375,32385,-0.2086925440661893,-0.15189281000729665,6,14,412.0,0.8505,true,artifacts/runs/search_taker_flow_extreme_20260811T161015Z_692007
S2-B (pilot),taker_flow_extreme,BTCUSDT,44,random_search,25,15,375,32385,-0.15274519360050665,0.0,7,14,432.0,0.7315,true,artifacts/runs/search_taker_flow_extreme_20260811T161015Z_692007
S2-B (pilot),taker_flow_extreme,ETHUSDT,42,genetic_algorithm,25,15,375,32385,-0.2370835409463381,-0.9127563633909774,4,14,623.0,0.7665,true,artifacts/runs/search_taker_flow_extreme_20260811T161025Z_387f26
S2-B (pilot),taker_flow_extreme,ETHUSDT,42,random_search,25,15,375,32385,-0.18801270251959645,0.0,7,14,430.0,0.698,true,artifacts/runs/search_taker_flow_extreme_20260811T161025Z_387f26
S2-B (pilot),taker_flow_extreme,ETHUSDT,43,genetic_algorithm,25,15,375,32385,-0.22399615975084308,-1.3840960509105409,4,14,444.0,0.7855,true,artifacts/runs/search_taker_flow_extreme_20260811T161034Z_c164f9
S2-B (pilot),taker_flow_extreme,ETHUSDT,43,random_search,25,15,375,32385,0.40806140502215715,0.5560199686928342,8,15,256.0,0.08,true,artifacts/runs/search_taker_flow_extreme_20260811T161034Z_c164f9
S2-B (pilot),taker_flow_extreme,ETHUSDT,44,genetic_algorithm,25,15,375,32385,0.2691495314099577,0.09722401568133313,8,15,437.0,0.2025,true,artifacts/runs/search_taker_flow_extreme_20260811T161042Z_81e718
S2-B (pilot),taker_flow_extreme,ETHUSDT,44,random_search,25,15,375,32385,-0.17461278931230395,0.14491227448866406,8,15,548.0,0.6165,true,artifacts/runs/search_taker_flow_extreme_20260811T161042Z_81e718
