scenario,n_trials,observed_sharpe_per_obs,benchmark_sharpe_per_obs,deflated_sharpe,probability_best_is_spurious
family_selection,13,0.0020713362758734847,0.008089162070073125,0.13948247412574422,0.8605175258742558
all_configurations_evaluated,496500,0.0020713362758734847,0.02245109861733531,0.0001229673073128712,0.9998770326926871
