quantity,mean,median,sd,share_positive
validation Sharpe (selected on),3.471197782249369,3.569973676230855,1.540337909595845,0.9666666666666667
test Sharpe (earned),-0.5681123214959373,-0.3976254565244138,2.123525808304494,0.413
optimism (val - test),4.039310103745306,4.196023452189177,2.359223343176984,0.95
