symbol,arm,n_seeds,seeds_positive,mean_sharpe,sd_across_seeds,min,max
BTCUSDT,R2 momentum (carrier),10,0,-0.7127808199924982,0.22258818921130427,-1.049358229552244,-0.4160991583561831
BTCUSDT,S3 macro_event_brake,10,0,-0.9902120615219079,0.13084743894963202,-1.2084030266183192,-0.7694930278815505
ETHUSDT,R2 momentum (carrier),10,0,-0.4939611744471918,0.20218109587048586,-0.9915483242469844,-0.2339604508653276
ETHUSDT,S3 macro_event_brake,10,0,-0.6790249085826738,0.194357891586119,-1.0358386041598349,-0.4176388471563674
